Date,VIX,Open,High,Low,Close,regime_class
1990-01-02,17.24,353.4,359.69,351.98,359.69,6
1990-01-03,18.19,359.69,360.59,357.89,358.76,6
1990-01-04,19.22,358.76,358.76,352.89,355.67,6
1990-01-05,20.11,355.67,355.67,351.35,352.2,6
1990-01-08,20.26,352.2,354.24,350.54,353.79,6
1990-01-09,22.2,353.83,354.17,349.61,349.62,6
1990-01-10,22.44,349.62,349.62,344.32,347.31,6
1990-01-11,20.05,347.31,350.14,347.31,348.53,6
1990-01-12,24.64,348.53,348.53,339.49,339.93,6
1990-01-15,26.34,339.93,339.94,336.57,337.0,6
1990-01-16,24.18,337.0,340.75,333.37,340.75,6
1990-01-17,24.16,340.77,342.01,336.26,337.4,6
1990-01-18,24.34,337.4,338.38,333.98,338.19,6
1990-01-19,22.5,338.19,340.48,338.19,339.15,6
1990-01-22,26.7,339.14,339.96,330.28,330.38,6
1990-01-23,24.72,330.38,332.76,328.67,331.61,6
1990-01-24,25.39,331.61,331.71,324.17,330.26,6
1990-01-25,25.63,330.26,332.33,325.33,326.08,6
1990-01-26,26.28,326.09,328.58,321.44,325.8,6
1990-01-29,26.44,325.8,327.31,321.79,325.2,7
1990-01-30,27.25,325.2,325.73,319.83,322.98,7
1990-01-31,25.36,322.98,329.08,322.98,329.08,7
1990-02-01,24.87,329.08,329.86,327.76,328.79,7
1990-02-02,24.32,328.79,332.1,328.09,330.92,7
1990-02-05,24.54,330.92,332.16,330.45,331.85,7
1990-02-06,24.69,331.85,331.86,328.2,329.66,7
1990-02-07,24.29,329.66,333.76,326.55,333.75,7
1990-02-08,23.77,333.75,336.09,332.0,332.96,7
1990-02-09,23.69,333.02,334.6,332.41,333.62,7
1990-02-12,24.38,333.62,333.62,329.97,330.08,7
1990-02-13,23.76,330.08,331.61,327.92,331.02,7
1990-02-14,22.05,331.02,333.2,330.64,332.01,7
1990-02-15,19.71,332.01,335.21,331.61,334.89,7
1990-02-16,20.78,334.89,335.64,332.42,332.72,7
1990-02-20,22.78,332.72,332.72,326.26,327.99,7
1990-02-21,23.89,327.91,328.17,324.47,327.67,7
1990-02-22,22.54,327.67,330.98,325.7,325.7,7
1990-02-23,23.69,325.7,326.15,322.1,324.15,7
1990-02-26,23.56,324.16,328.67,323.98,328.67,8
1990-02-27,22.69,328.68,331.94,328.47,330.26,8
1990-02-28,21.99,330.26,333.48,330.16,331.89,8
1990-03-01,21.9,331.89,334.4,331.08,332.74,8
1990-03-02,21.34,332.74,335.54,332.72,335.54,8
1990-03-05,22.03,335.54,336.38,333.49,333.74,8
1990-03-06,20.55,333.74,337.93,333.57,337.93,8
1990-03-07,19.1,337.93,338.84,336.33,336.95,8
1990-03-08,19.74,336.95,340.66,336.95,340.27,8
1990-03-09,20.3,340.12,340.27,336.84,337.93,8
1990-03-12,20.07,337.93,339.08,336.14,338.67,8
1990-03-13,21.05,338.67,338.67,335.36,336.0,8
1990-03-14,19.65,336.0,337.63,334.93,336.87,8
1990-03-15,18.81,336.87,338.91,336.87,338.07,8
1990-03-16,17.62,338.07,341.91,338.07,341.91,8
1990-03-19,18.29,341.91,343.76,339.12,343.53,8
1990-03-20,19.06,343.53,344.49,340.87,341.57,8
1990-03-21,20.1,341.57,342.34,339.56,339.74,8
1990-03-22,22.74,339.74,339.77,333.62,335.69,8
1990-03-23,20.46,335.69,337.58,335.69,337.22,8
1990-03-26,19.59,337.22,339.74,337.22,337.63,8
1990-03-27,21.01,337.63,341.5,337.03,341.5,9
1990-03-28,19.77,341.5,342.58,340.6,342.0,9
1990-03-29,18.46,342.0,342.07,339.77,340.79,9
1990-03-30,19.73,340.79,341.41,338.21,339.94,9
1990-04-02,22.84,339.94,339.94,336.33,338.7,9
1990-04-03,20.44,338.7,343.76,338.7,343.64,9
1990-04-04,22.03,343.64,344.12,340.4,341.09,9
1990-04-05,21.21,341.09,342.85,340.63,340.73,9
1990-04-06,21.76,340.73,341.73,338.94,340.08,9
1990-04-09,22.3,340.08,341.83,339.88,341.37,9
1990-04-10,21.69,341.37,342.41,340.62,342.07,9
1990-04-11,17.73,342.07,343.0,341.26,341.92,9
1990-04-12,19.8,341.92,344.79,341.91,344.34,9
1990-04-16,20.75,344.34,347.3,344.1,344.74,9
1990-04-17,20.38,344.74,345.19,342.06,344.68,9
1990-04-18,22.67,344.68,345.33,340.11,340.72,9
1990-04-19,22.46,340.72,340.72,337.59,338.09,9
1990-04-20,23.33,338.09,338.52,333.41,335.12,9
1990-04-23,24.16,335.12,335.12,330.09,331.05,9
1990-04-24,21.7,331.05,332.97,329.71,330.36,9
1990-04-25,20.86,330.36,332.74,330.36,332.03,9
1990-04-26,20.25,332.03,333.76,330.67,332.92,10
1990-04-27,22.19,332.92,333.57,328.71,329.11,10
1990-04-30,19.52,329.11,331.31,327.76,330.8,10
1990-05-01,18.43,330.8,332.83,330.8,332.25,10
1990-05-02,19.32,332.25,334.48,332.15,334.48,10
1990-05-03,17.81,334.48,337.02,334.47,335.57,10
1990-05-04,17.28,335.58,338.46,335.17,338.39,10
1990-05-07,17.65,338.39,341.07,338.11,340.53,10
1990-05-08,18.49,340.53,342.03,340.17,342.01,10
1990-05-09,18.64,342.01,343.08,340.9,342.86,10
1990-05-10,18.59,342.87,344.98,342.77,343.82,10
1990-05-11,19.81,343.82,352.31,343.82,352.0,10
1990-05-14,20.14,352.0,358.41,351.95,354.75,10
1990-05-15,19.49,354.75,355.09,352.84,354.28,10
1990-05-16,17.71,354.27,354.68,351.95,354.0,10
1990-05-17,17.27,354.0,356.92,354.0,354.47,10
1990-05-18,17.2,354.47,354.64,352.52,354.64,10
1990-05-21,16.72,354.64,359.07,353.78,358.0,10
1990-05-22,17.84,358.0,360.5,356.09,358.43,10
1990-05-23,17.18,358.43,359.29,356.99,359.29,10
1990-05-24,17.7,359.29,359.56,357.87,358.41,10
1990-05-25,17.32,358.41,358.41,354.32,354.58,11
1990-05-29,18.75,354.58,360.65,354.55,360.65,11
1990-05-30,17.44,360.65,362.26,360.0,360.86,11
1990-05-31,17.37,360.86,361.84,360.23,361.23,11
1990-06-01,17.09,361.26,363.52,361.21,363.16,11
1990-06-04,18.39,363.16,367.85,362.43,367.4,11
1990-06-05,18.97,367.4,368.78,365.49,366.64,11
1990-06-06,17.42,366.64,366.64,364.42,364.96,11
1990-06-07,16.88,365.92,365.92,361.6,363.15,11
1990-06-08,17.58,363.15,363.49,357.68,358.71,11
1990-06-11,16.34,358.71,361.63,357.7,361.63,11
1990-06-12,16.6,361.63,367.27,361.15,366.25,11
1990-06-13,17.38,366.25,367.09,364.51,364.9,11
1990-06-14,17.4,364.9,364.9,361.64,362.9,11
1990-06-15,15.9,362.89,363.14,360.71,362.91,11
1990-06-18,17.71,362.91,362.91,356.88,356.88,11
1990-06-19,15.23,356.88,358.9,356.18,358.47,11
1990-06-20,15.27,358.47,359.91,357.0,359.1,11
1990-06-21,14.72,359.1,360.88,357.63,360.47,11
1990-06-22,19.36,360.52,363.2,355.31,355.43,11
1990-06-25,17.06,355.42,356.41,351.91,352.31,12
1990-06-26,16.29,352.32,356.09,351.85,352.06,12
1990-06-27,16.0,352.06,355.89,351.23,355.14,12
